RK,PLAYER,WAR,OFF,DEF,WAA,TRPG,ORPG,RAA,WAAWP,YEAR
1,Aaron Judge,9.7,9.4,-0.5,7.6,4.9,4.4,74.1,0.6,2025
2,Cristopher Sanchez,8,0,0,6.3,4.6,2.8,53.7,0.7,2025
3,Shohei Ohtani,7.7,6.6,-1.7,5.4,9.4,8.6,53,1.1,2025
4,Paul Skenes,7.6,0,0,6,4.6,2.9,51.8,0.7,2025
5,Cal Raleigh,7.3,7.7,0.1,5.1,4.7,4.4,48.7,0.5,2025
6,Bobby Witt Jr.,7.1,6.7,1.3,4.9,4.7,4.4,46.9,0.5,2025
7,Geraldo Perdomo,7,6.8,1.3,4.8,4.8,4.6,48.2,0.5,2025
8,Julio Rodriguez,6.8,5.8,1.5,4.6,4.6,4.4,43.3,0.5,2025
9,Tarik Skubal,6.6,0,0,4.9,4.4,3,44.7,0.7,2025
10,Garrett Crochet,6.3,0,0,4.6,4.4,3.2,42.1,0.6,2025
11,Juan Soto,6.2,7,-1.3,4.1,4.8,4.6,40.8,0.5,2025
12,Corey Seager,6.1,4.4,2.3,4.7,4.7,4.4,44.9,0.5,2025
,Matt Olson,6.1,4.3,1.1,4,4.7,4.6,38.6,0.5,2025
,Nico Hoerner,6.1,4.5,2.2,4,4.7,4.6,39.1,0.5,2025
,Hunter Brown,6.1,0,0,4.5,4.4,3.1,41.4,0.6,2025
16,Pete Crow-Armstrong,6,4.4,2,3.9,4.7,4.6,38,0.5,2025
17,Fernando Tatis Jr.,5.9,4.4,1.1,3.8,4.7,4.6,37.6,0.5,2025
18,Corbin Carroll,5.8,5,0.4,3.9,4.8,4.6,38.1,0.5,2025
,Francisco Lindor,5.8,6,0.8,3.6,4.8,4.6,36.1,0.5,2025
,Jose Ramirez,5.8,5.7,0.2,3.6,4.6,4.4,33.8,0.5,2025
,Maikel Garcia,5.8,4.7,1.6,3.6,4.6,4.4,33.3,0.5,2025
22,Jeremy Pena,5.6,5.1,1.3,3.9,4.7,4.4,36.9,0.5,2025
,Andrew Abbott,5.6,0,0,4.2,4.6,3.3,36.7,0.6,2025
